Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
1 /index.html,1000,0,0,1,"0,03","100,000%","4,29474","4,94","0,00","1177,0"
3 /domains/example,1000,841,553,4482,"272,50","0,000%","4,28403","17,86","3,23","4268,9"
4 /success.txt,1000,17,4,167,"17,45","0,000%","4,31267","1,62","1,29","384,0"
5 /domains/reserved,1000,335,184,6722,"349,39","0,000%","4,29899","85,07","2,32","20263,5"
10 /_img/2013.1/iana-logo-header.svg,500,250,187,6537,"444,48","0,000%","2,15166","69,98","0,68","33305,0"
15 /about,1000,214,184,1668,"111,15","0,000%","4,30348","14,25","1,63","3390,0"
17 /success.txt,1000,13,4,128,"11,19","0,000%","4,30672","1,62","1,29","384,0"
18 /success.txt,1000,7,4,439,"19,50","0,000%","4,30700","1,62","1,29","384,0"
19 /success.txt,1000,7,4,74,"4,22","0,000%","4,30708","1,62","1,29","384,0"
22 /about/presentations,1000,497,185,4111,"366,35","0,000%","4,29664","69,60","3,78","16586,5"
24 /success.txt,500,7,4,44,"3,44","0,000%","2,15362","0,81","0,65","384,0"
23 /about/audits,500,231,184,1669,"143,40","0,000%","2,15197","7,01","0,84","3337,0"
25 /about/audits/soc-logo.svg,500,230,186,3732,"186,97","0,000%","2,15193","31,22","0,66","14858,0"
RAZEM,11000,208,0,6722,"329,08","9,091%","46,80891","304,04","18,76","6651,3"
